uid,brand,year,model,title,usedOrNew,transmission,engine,driveType,fuelType,fuelConsumption,kilometres,cylindersInEngine,bodyType,suburb,state,doors,seats,extColour,intColour,price
1d55448e-4829-4bfe-bdc6-3a329f4170bb,Toyota,2007,Corolla,Ascent,USED,Automatic,1.8,Front,Unleaded,7.7,304699,4.0,Hatchback,Minchinbury,NSW,5,5,White,Black,8995
040ffd95-27da-4ac1-9ce2-e865af09c244,Toyota,2010,Landcruiser,GX (4X4),USED,Manual,4.5,4WD,Diesel,11.5,402356,8.0,Ute / Tray,Lisarow,NSW,2,3,White,Grey,37500
acc6dd09-5f53-468f-9c3b-9962e624e410,Toyota,2023,RAV4,GX (2WD) Hybrid,USED,Automatic,2.5,Front,Hybrid,4.8,49,4.0,SUV,Brookvale,NSW,5,5,Grey,Grey,60888
d490de45-c511-46c8-989d-e15368331af0,Toyota,2012,Landcruiser,Prado GXL (4X4),USED,Automatic,3.0,4WD,Diesel,8.5,326851,4.0,SUV,Archerfield,QLD,4,7,Grey,Grey,24990
e3700c1d-2251-4f27-8b90-21773d30c44c,Toyota,2019,RAV4,Cruiser AWD Hybrid,USED,Automatic,2.5,AWD,Hybrid,4.8,42797,4.0,SUV,Warwick Farm,NSW,5,5,Silver,Grey,53888
d4ef7e8c-63f2-4d1c-b5f9-373a4c6aaca2,Toyota,2015,Camry,Atara SX,USED,Automatic,2.5,Front,Unleaded,7.8,70759,4.0,Sedan,North Narrabeen,NSW,4,5,Silver,Black,24990
152ad6c9-7110-4325-8efe-81cd37149b5d,Toyota,2019,Corolla,Ascent Sport (hybrid),USED,Automatic,1.8,Front,Hybrid,4.2,23826,4.0,Hatchback,Strathalbyn,SA,5,5,Silver,Grey,33990
24a152c3-e396-4b78-808d-addc0ee28a0a,Toyota,2023,RAV4,Cruiser (awd) Hybrid,USED,Automatic,2.5,AWD,Hybrid,4.8,11,4.0,SUV,Pennant Hills,NSW,5,5,Black,Black,71888
392c1a8a-d383-4972-8f0a-875fbf17540c,Toyota,2018,Corolla,SX (hybrid),USED,Automatic,1.8,Front,Hybrid,4.2,86578,4.0,Hatchback,Albion Park Rail,NSW,5,5,Blue,Black,29990
5b8a6944-838a-4e13-bc12-bf3d628138f7,Toyota,2018,C-HR,(2WD),USED,Automatic,1.2,Front,Premium,5.5,66948,4.0,SUV,Brookvale,NSW,4,5,Black,Grey,29888
d26ed385-dd39-4895-a9ad-e15c2fb63d6c,Toyota,2018,Corolla,ZR (hybrid),USED,Automatic,1.8,Front,Hybrid,4.2,61603,4.0,Hatchback,Castle Hill,NSW,5,5,White,Black,37990
43050ca8-419f-475e-a70c-5563267c7050,Toyota,2016,Corolla,Ascent Sport,USED,Automatic,1.8,Front,Unleaded,6.1,133326,4.0,Hatchback,Albion Park,NSW,5,5,White,4Efa20,19990
42c87e18-bf63-45e9-8df2-85b2e92a9b0d,Toyota,2015,Hilux,SR HI-Rider,USED,Automatic,2.8,Rear,Diesel,8.1,217213,4.0,Ute / Tray,Welshpool,WA,4,5,White,Black,25900
09202bf4-5168-4788-ae93-44fa95a897a7,Toyota,2017,Corolla,ZR,USED,Automatic,1.8,Front,Unleaded,6.1,130970,4.0,Hatchback,East Maitland,NSW,5,5,Red,Black,23990
